nome,descricao
Plástico reciclado,"Material plástico reaproveitado utilizado em objetos, mosaicos, decoração e arte sustentável."
Tampinhas plásticas,"Tampas reaproveitadas de embalagens utilizadas em mosaicos, brinquedos e objetos decorativos."
PET reciclado,"Material proveniente de garrafas PET reaproveitadas em decoração, estruturas e objetos artesanais."
CD/DVD reciclado,"Mídias ópticas reaproveitadas em mosaicos, mandalas, decoração e instalações artísticas."
Papel de jornal,"Papel de jornal reaproveitado em papel machê, cestaria, colagem e decoração."
Revista,"Páginas impressas reaproveitadas em colagens, mosaicos, papel trançado e decoração."
Rolha de cortiça,"Material natural leve utilizado em miniaturas, carimbos, decoração e objetos artesanais."
Rolha sintética,Rolha produzida com material sintético utilizada em reaproveitamento e peças decorativas.
Caixa de papelão reciclada,"Estrutura de papelão reaproveitada para maquetes, organizadores e objetos artesanais."
Palito de madeira,"Pequenos bastões de madeira utilizados em miniaturas, estruturas e trabalhos decorativos."
Picolé de madeira,"Palitos de madeira reaproveitados ou novos utilizados em miniaturas, mosaicos e estruturas."
Serapilheira,"Tecido rústico de fibras vegetais utilizado em decoração, bolsas, embalagens e trabalhos artesanais."
Tela de pintura,"Superfície preparada para pintura artística, geralmente montada sobre uma estrutura rígida."
Tinta acrílica,"Tinta à base de polímero acrílico utilizada em madeira, tela, cerâmica e diversas superfícies."
Tinta PVA,"Tinta à base de acetato de polivinila utilizada principalmente em madeira, MDF e artesanato."
Tinta guache,Tinta à base de água com acabamento opaco utilizada em papel e trabalhos artísticos.
Tinta para tecido,"Tinta formulada para aderir a tecidos naturais e sintéticos, utilizada em pintura e customização."
Tinta spray,Tinta aplicada por aerossol utilizada em pintura e acabamento de diferentes materiais.
Verniz,Produto de acabamento que protege e pode alterar o brilho de superfícies artesanais.
Betume,"Produto utilizado para envelhecimento, sombreamento e efeitos decorativos em peças artesanais."
Cola branca,"Adesivo à base de água utilizado em papel, madeira, tecido e diversos trabalhos artesanais."
Cola quente,Adesivo termoplástico aplicado com pistola de cola quente para fixações rápidas.
Cola de contato,"Adesivo de alta aderência utilizado para unir materiais como couro, borracha e laminados."
Cola para tecido,Adesivo formulado para unir tecidos e aplicações têxteis sem necessidade de costura.
Cola instantânea,Adesivo de cura rápida utilizado para pequenas peças e materiais diversos.
Massa corrida,Material de preenchimento utilizado para nivelar superfícies antes da pintura ou acabamento.
Goma laca,Produto de acabamento tradicional utilizado para selar e proteger madeira e outras superfícies.
Parafina,Material ceroso utilizado na produção artesanal de velas e objetos decorativos.
Cera de abelha,"Cera natural utilizada em velas, acabamentos, polimentos e trabalhos artesanais."
Pavio,Cordão combustível utilizado na fabricação de velas artesanais.
Sabão glicerinado,Base utilizada para produção artesanal de sabonetes por processo de derretimento e moldagem.
Essência aromática,"Composto aromático utilizado para perfumar velas, sabonetes e produtos artesanais."
Pigmento,"Material utilizado para adicionar cor a tintas, massas, resinas e outros produtos artesanais."
Glitter,"Partículas decorativas brilhantes utilizadas em pintura, papelaria e decoração."
Folha de ouro,Lâmina metálica muito fina utilizada em douração e acabamento decorativo.
Folha de prata,Lâmina metálica fina utilizada em técnicas de douração e acabamento artístico.
Moldura de madeira,"Estrutura de madeira utilizada para enquadrar pinturas, fotografias e trabalhos artesanais."
Base de MDF,"Peça pré-cortada de MDF utilizada como suporte para pintura, decoração e personalização."
Tecido para bordado,Tecido com trama adequada para receber pontos de bordado manual.
Linha de bordado,"Linha colorida, geralmente de algodão, utilizada em bordado manual e ponto cruz."
Agulha de bordado,Agulha fina utilizada para executar diferentes técnicas de bordado.
Agulha de crochê,Ferramenta com gancho utilizada para criar peças a partir de fios.
Agulha de tricô,Ferramenta longa utilizada para produzir peças de tricô com fios.
Tesoura,"Ferramenta de corte utilizada em tecidos, papéis, fios e outros materiais artesanais."
Estilete,"Ferramenta de lâmina retrátil utilizada para cortes precisos em papel, papelão, EVA e materiais similares."
Lixa,"Material abrasivo utilizado para desgastar, nivelar e dar acabamento a superfícies."
Pincel,"Ferramenta utilizada para aplicar tintas, vernizes, colas e outros produtos."
Espátula,"Ferramenta utilizada para aplicar massas, tintas, colas e materiais de acabamento."
Molde de silicone,"Molde flexível reutilizável utilizado para reproduzir peças em resina, gesso, sabonete e outros materiais."
